"country","countryCode","continent","cases","todayCases","deaths","todayDeaths","recovered","todayRecovered","active","critical","casesPerMillion","deathsPerMillion","tests","testsPerMillion","population","mortalityRate","recoveryRate"
"France","FR","Europe","40138560","0","167642","0","39970918","0","0","0","612013","2556","271490188","4139547","65584518","0.42","99.58"
"Canada","CA","North America","4946090","0","59034","0","4881312","350","5744","99","128843","1538","66572774","1734189","38388419","1.19","98.69"
"Germany","DE","Europe","38828995","0","183027","0","38240600","0","405368","0","462891","2182","122332384","1458359","83883596","0.47","98.48"
"Italy","IT","Europe","26723249","0","196487","0","26361218","0","165544","22","443445","3261","281126449","4665010","60262770","0.74","98.65"
"USA","US","North America","111820082","0","1219487","0","109814428","0","786167","940","333985","3642","1186851502","3544901","334805269","1.09","98.21"
